,InstrumentID,days,InstrumentDisplayName,Symbol
0,1,76.0,EUR/USD,EURUSD
1,2,71.0,GBP/USD,GBPUSD
2,3,52.0,NZD/USD,NZDUSD
3,4,53.0,USD/CAD,USDCAD
4,5,61.0,USD/JPY,USDJPY
5,6,47.0,USD/CHF,USDCHF
6,7,65.0,AUD/USD,AUDUSD
7,8,49.0,EUR/GBP,EURGBP
8,9,33.0,EUR/CHF,EURCHF
9,10,41.0,EUR/JPY,EURJPY
10,11,39.0,GBP/JPY,GBPJPY
11,12,32.0,EUR/AUD,EURAUD
12,13,28.0,EUR/CAD,EURCAD
13,14,36.0,AUD/JPY,AUDJPY
14,15,30.0,CAD/JPY,CADJPY
15,16,34.0,CHF/JPY,CHFJPY
16,17,39.0,Oil,OIL
17,18,64.0,Gold,GOLD
18,19,51.0,Silver,SILVER
19,27,44.0,SPX500,SPX500
20,28,34.0,NSDQ100 NAS,NSDQ100
21,29,48.0,DJ30,DJ30
22,30,26.0,UK100,UK100
23,31,25.0,FRA40,FRA40
24,32,58.0,GER30,GER30
25,33,38.0,AUS200,AUS200
26,34,22.0,ESP35,ESP35
27,35,5.0,ITA40,ITA40
28,36,4.0,JPN225,JPN225
29,37,25.0,SUI30,SUI30
30,39,36.0,USD/HKD,USDHKD
31,43,31.0,EUSTX50,EUSTX50
32,44,17.0,USD/RUB,USDRUB
33,45,19.0,USD/CNH,USDCNH
34,46,23.0,AUD/CHF,AUDCHF
35,47,12.0,AUD/CAD,AUDCAD
36,48,19.0,AUD/NZD,AUDNZD
37,49,17.0,EUR/NZD,EURNZD
38,50,22.0,GBP/AUD,GBPAUD
39,51,28.0,GBP/CHF,GBPCHF
40,52,20.0,GBP/NZD,GBPNZD
41,53,12.0,NZD/CAD,NZDCAD
42,54,12.0,NZD/CHF,NZDCHF
43,55,13.0,NZD/JPY,NZDJPY
44,56,16.0,CAD/CHF,CADCHF
45,1001,104.0,Apple,AAPL
46,1002,130.0,Alphabet,GOOG
47,1003,132.0,Facebook,FB
48,1004,63.0,Microsoft,MSFT
49,1005,56.0,Amazon,AMZN
50,1006,65.0,Altaba Inc,AABA
51,1007,74.0,Zynga,ZNGA
52,1008,53.0,Alcoa,AA
53,1009,76.0,American Express CO,AXP
54,1010,29.0,Boeing,BA
55,1011,45.0,Bank of America Corp,BAC
56,1012,62.0,Caterpillar,CAT
57,1013,45.0,Cisco,CSCO
58,1014,80.0,Chevron,CVX
59,1015,28.0,Du-Pont,DDOld
60,1016,61.0,Walt Disney,DIS
61,1017,43.0,General Electric Co,GE
62,1018,23.0,Home Depot Inc,HD
63,1019,48.0,Hewlett Packard,HPQ
64,1020,65.0,IBM,IBM
65,1021,51.0,Intel,INTC
66,1022,56.0,Johnson & Johnson,JNJ
67,1023,25.0,JPMorgan Chase & Co,JPM
68,1024,68.0,Coca-Cola,KO
69,1025,45.0,McDonalds,MCD
70,1026,62.0,3M,MMM
71,1027,44.0,Merck,MRK
72,1028,43.0,Pfizer,PFE
73,1029,42.0,Procter & Gamble Co,PG
74,1030,46.0,AT&T Inc,T
75,1031,58.0,Travelers,TRV
76,1032,23.0,UnitedHealth,UNH
77,1033,33.0,United-Technologies,UTX
78,1034,27.0,Verizon,VZ
79,1035,50.0,Wal-Mart,WMT
80,1036,35.0,Exxon-Mobil,XOM
81,1037,38.0,Citigroup,C
82,1038,51.0,Honda,HMC
83,1039,46.0,HSBC,HSBC
84,1040,62.0,Manchester United,MANU
85,1041,47.0,Mastercard,MA
86,1042,43.0,NIKE,NKE
87,1043,44.0,PepsiCo,PEP
88,1044,74.0,Sony,SNE
89,1045,35.0,Toyota,TM
90,1046,50.0,Visa,V
91,1047,51.0,Vodafone,VOD
92,1048,63.0,Time-Warner,TWX
93,1049,57.0,Deutsche-Bank,DB
94,1050,83.0,Colgate-Palmolive,CL
95,1051,53.0,eBay,EBAY
96,1053,30.0,Yandex NV,YNDX
97,1054,16.0,Qiwi Plc,QIWI
98,1055,26.0,China Mobile Limited,CHL
99,1056,8.0,Renren Inc.,RENN
100,1100,44.0,Telecom Argentina SA,TEO
101,1101,49.0,Ternium SA,TX
102,1102,63.0,Petroleo Brasileiro SA Petrobras,PBR
103,1103,53.0,Vale SA,VALE
104,1104,77.0,Banco Santander SA (US),SAN
105,1105,43.0,Telefonica SA (US),TEF
106,1106,22.0,America Movil,NYSE
107,1107,44.0,Cemex,NYSE
108,1109,41.0,Grupo Televisa,NYSE
109,1110,61.0,SanDisk Corp,SNDK
110,1111,76.0,Tesla Motors,NASDAQ
111,1112,63.0,Ford Motor Co,F
112,1113,41.0,Las Vegas Sands Corp,LVS
113,1114,47.0,LinkedIn Corp,LNKD
114,1115,71.0,Nokia Oyj,NOK
115,1116,32.0,Potash Corporation of Saskatchewan,POT
116,1117,51.0,First Solar,NASDAQ
117,1119,38.0,Western Union Company,WU
118,1120,43.0,Gap,NYSE
119,1121,47.0,Ralph Lauren Corp,RL
