StockId,week1,weeks2,weeks3,weeks4,weeks5,weeks6
1,0.7571441,0.146405115,0.016201992,0.00728546,0.072637119,0.000326215
2,0.684009654,0.188106864,0.013863164,0.007212213,0.1065836,0.000224505
3,0.603322152,0.16643091,0.157579922,0.007274785,0.06523057,0.000161662
4,0.890454055,0.061980561,0.014602996,0.010470958,0.022397521,9.39E-05
5,0.788155107,0.13613337,0.01607258,0.024500322,0.034908354,0.000230266
6,0.708684457,0.07519897,0.021125936,0.161575375,0.033122659,0.000292603
7,0.620152672,0.173774385,0.120814249,0.005564037,0.079592875,0.000101781
8,0.702065966,0.202029721,0.011525915,0.004929322,0.079231606,0.00021747
9,0.573350661,0.187218103,0.037764697,0.018194328,0.183013531,0.000458681
10,0.877082745,0.061282124,0.04998588,0.002047444,0.009601807,0
11,0.795348045,0.092953906,0.058106842,0.016699327,0.036465877,0.000426003
12,0.753449194,0.182891998,0.021493925,0.004937793,0.037081861,0.000145229
13,0.56634591,0.389655609,0.03418587,0.003735123,0.005950874,0.000126614
14,0.869050749,0.071522482,0.026820931,0.004996056,0.027346831,0.00026295
15,0.918146253,0.040776407,0.016400843,0.007974722,0.016701776,0
16,0.846560847,0.117724868,0.008597884,0.005952381,0.021164021,0
17,0.697988431,0.160219723,0.022294508,0.013824743,0.105565188,0.000107406
18,0.629773413,0.207671487,0.058479623,0.01000696,0.09382105,0.000247467
19,0.46542889,0.336724842,0.037653175,0.012179725,0.147567768,0.0004456
21,0.863339552,0.107625933,0.01457556,0.003498134,0.010960821,0
22,0.752655757,0.131208728,0.038123949,0.018169886,0.05965711,0.00018457
25,0.370031498,0.381730913,0.012449378,0.040047998,0.193340333,0.00239988
26,0.61630334,0.054962894,0.264378479,0.05890538,0.001623377,0.003826531
27,0.859915127,0.089006277,0.020334188,0.003668995,0.026898594,0.000176819
28,0.739220136,0.154098755,0.01653944,0.013135273,0.076748504,0.000257891
29,0.830756387,0.101051929,0.013892136,0.008949741,0.045349808,0
30,0.67244087,0.260743349,0.03350307,0.013658212,0.0196545,0
31,0.963636364,0.03209453,0.001753383,0.000952925,0.001524681,3.81E-05
32,0.918206487,0.045893096,0.009002024,0.007968299,0.017444114,0.00148598
33,0.896411093,0.042414356,0.030179445,0.004078303,0.026916803,0
34,0.830472103,0.128755365,0.012875536,0.010729614,0.017167382,0
36,0.70064083,0.132285627,0.010833079,0.006103143,0.149832164,0.000305157
38,0.397702487,0.392613058,0.017594881,0.003635306,0.18729097,0.001163298
39,0.75,0.204545455,0.045454545,0,0,0
40,0.435506158,0.344127366,0.015079603,0.013998198,0.19080805,0.000480625
42,0.635403979,0.192854243,0.028420625,0.008932197,0.134388957,0
43,0.960715126,0.024935309,0.001646671,0.000940955,0.011761938,0
44,0.493272123,0.21323413,0.043691626,0.044878898,0.204448314,0.000474909
45,0.730812815,0.257958175,0.006284125,0.00133924,0.003605645,0
46,0.751555791,0.149452458,0.050315982,0.00757393,0.041053596,4.82E-05
47,0.895432692,0.086418269,0.007572115,0.004447115,0.006009615,0.000120192
